C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.25,2.4,0.04,0,0,1.89,0,2.03,6,0,6,12,0,82,0,0,AF,3.930125,4.08589,0.32933,100.0000,0.04399,0.001073,108.39041,0,4,4,0,92,0,0,100,,0.027609,0.027609,3.930125,4.08589,0.32933,100.0000,0.04399,0.001073,108.41802
3.25,2.4,0.04,0,0,1.89,0,2.03,12,0,1,5,0,94,0,0,AF,3.530314,3.22452,0.22316,100.0000,0.04064,0.001498,107.02013,0,3,3,0,93,0,0,100,,0.019252,0.019252,3.530314,3.22452,0.22316,100.0000,0.04064,0.001498,107.03938
3.25,2.4,0.04,0,0,1.89,0,2.03,24,0,1,4,0,95,0,0,AF,2.807963,2.40718,0.10169,100.0000,0.03538,0.003617,105.35583,0,3,2,0,95,0,0,100,,0.007957,0.007957,2.807963,2.40718,0.10169,100.0000,0.03538,0.003617,105.36379
3.41,2.42,0.03,0,0,1.23,0,1.48,3,0,20,5,0,75,0,0,AF,3.749551,4.70875,0.40265,100.0000,0.03350,0.000549,108.89500,0,3,4,0,92,0,0,100,,0.045065,0.045065,3.749551,4.70875,0.40265,100.0000,0.03350,0.000549,108.94007
3.41,2.42,0.03,0,0,1.23,0,1.48,6,0,5,3,0,92,0,0,AF,3.624096,3.08347,0.32742,100.0000,0.03361,0.000599,107.06920,0,3,3,0,93,0,0,100,,0.044164,0.044164,3.624096,3.08347,0.32742,100.0000,0.03361,0.000599,107.11336
3.41,2.42,0.03,0,0,1.23,0,1.48,12,0,4,2,0,94,0,0,AF,3.255605,2.33235,0.21993,100.0000,0.03042,0.000777,105.83909,0,3,2,0,94,0,0,100,,0.034255,0.034255,3.255605,2.33235,0.21993,100.0000,0.03042,0.000777,105.87334
3.41,2.42,0.03,0,0,1.23,0,1.48,24,2,4,2,4,88,0,0,AF,2.678496,1.71853,0.09598,100.0000,0.02534,0.001545,104.51990,0,3,2,0,96,0,0,100,,0.018297,0.018297,2.678496,1.71853,0.09598,100.0000,0.02534,0.001545,104.53820
3.82,2.4,0.03,0,0,2.9,0,1.6,3,0,0,1,0,99,0,0,AF,1.083875,4.98865,0.32358,100.0000,0.16602,0.198580,106.76071,0,1,5,0,94,0,0,100,,0.001256,0.001256,1.083875,4.98865,0.32358,100.0000,0.16602,0.198580,106.76196
3.82,2.4,0.03,0,0,2.9,0,1.6,6,0,2,2,0,96,0,0,AF,1.090332,3.40606,0.25595,100.0000,0.16403,0.213189,105.12956,0,1,3,0,95,0,0,100,,0.001206,0.001206,1.090332,3.40606,0.25595,100.0000,0.16403,0.213189,105.13077
3.82,2.4,0.03,0,0,2.9,0,1.6,12,0,4,3,0,93,0,0,AF,1.081523,2.72560,0.16262,100.0000,0.14234,0.248578,104.36066,0,1,3,0,96,0,0,100,,0.000940,0.000940,1.081523,2.72560,0.16262,100.0000,0.14234,0.248578,104.36160
